title,link,pubDate,source
Canada’s Place in the AI Data Centre Boom ,https://www.dataprotectionreport.com/2025/07/canadas-place-in-the-ai-data-centre-boom/,"Mon, 14 Jul 2025 18:13:12 +0000",Other
The Healthline Order: Privacy law grows teeth,https://www.dataprotectionreport.com/2025/07/the-healthline-order-privacy-law-grows-teeth/,"Fri, 11 Jul 2025 15:14:14 +0000",CCPA
Do your technology and outsourcing contracts properly address liability for cyber incidents?,https://www.dataprotectionreport.com/2025/07/do-your-technology-and-outsourcing-contracts-properly-address-liability-for-cyber-incidents/,"Wed, 02 Jul 2025 08:07:58 +0000",Other
AI Armageddon Series,https://www.dataprotectionreport.com/2025/06/ai-armageddon-series/,"Mon, 30 Jun 2025 17:28:07 +0000",Other
New Jersey’s proposed privacy rules include some surprises,https://www.dataprotectionreport.com/2025/06/new-jerseys-proposed-privacy-rules-include-some-surprises/,"Tue, 24 Jun 2025 10:33:31 +0000",Other
AI and Job Postings: Navigating Ontario’s Upcoming Requirements,https://www.dataprotectionreport.com/2025/06/ai-and-job-postings-navigating-ontarios-upcoming-requirements/,"Mon, 16 Jun 2025 20:19:13 +0000",Other
FTC’s COPPA Rule changes include AI training consent requirement,https://www.dataprotectionreport.com/2025/06/ftcs-coppa-rule-changes-include-ai-training-consent-requirement/,"Wed, 04 Jun 2025 05:00:00 +0000",Other
Generative AI: Updated global guide to key IP considerations,https://www.dataprotectionreport.com/2025/06/generative-ai-updated-global-guide-to-key-ip-considerations/,"Tue, 03 Jun 2025 08:49:08 +0000",Other
AI literacy – the Commission’s pointers on building your programme,https://www.dataprotectionreport.com/2025/05/ai-literacy-the-commissions-pointers-on-building-your-programme/,"Wed, 28 May 2025 09:43:18 +0000",Other
The California Privacy Protection Agency may be clicking through your website,https://www.dataprotectionreport.com/2025/05/the-california-privacy-protection-agency-may-be-clicking-through-your-website/,"Wed, 21 May 2025 16:57:50 +0000",Other
