title,link,date
The Italian SA imposes fines of 420 000 EUR on Autostrade per l’Italia spa,https://edpb.europa.eu/news/national-news/2025/italian-sa-imposes-fines-420-000-eur-autostrade-litalia-spa_en,2025-07-15
Biometrics for attendance recording. The Italian SA fines a high school,https://edpb.europa.eu/news/national-news/2025/biometrics-attendance-recording-italian-sa-fines-high-school_en,2025-07-15
Swedish SA: Administrative fine against the Equality Ombudsman when personal data was collected via a web form,https://edpb.europa.eu/news/national-news/2025/swedish-sa-administrative-fine-against-equality-ombudsman-when-personal_en,2025-07-15
Targeted modifications of the GDPR: EDPB & EDPS welcome simplification of record keeping obligations and request further clarifications,https://edpb.europa.eu/news/news/2025/targeted-modifications-gdpr-edpb-edps-welcome-simplification-record-keeping_en,2025-07-09
Irish Supervisory Authority fines TikTok €530 million and orders corrective measures following Inquiry into transfers of EEA User Data to China,https://edpb.europa.eu/news/news/2025/irish-supervisory-authority-fines-tiktok-eu530-million-and-orders-corrective_en,2025-07-04
"The Helsinki Statement on enhanced clarity, support and engagement",https://edpb.europa.eu/news/news/2025/helsinki-statement-enhanced-clarity-support-and-engagement_en,2025-07-03
Irish SA announces conclusion of investigation into use of facial matching technology in connection with the Public Services Card by the Irish Department of Social Protection,https://edpb.europa.eu/news/national-news/2025/irish-sa-announces-conclusion-investigation-use-facial-matching-technology_en,2025-07-02
"Irish SA Imposes €125,000 Administrative fine following Inquiry into City of Dublin Education and Training Board (CDETB)",https://edpb.europa.eu/news/national-news/2025/irish-sa-imposes-eu125000-administrative-fine-following-inquiry-city-dublin_en,2025-07-01
The Norwegian SA issues one administrative fine and five reprimands for unlawful sharing of personal information through tracking pixels,https://edpb.europa.eu/news/national-news/2025/norwegian-sa-issues-one-administrative-fine-and-five-reprimands-unlawful_en,2025-06-30
Finnish SA: pharmacy company Yliopiston Apteekki issued administrative fine for online shop data protection shortcomings,https://edpb.europa.eu/news/national-news/2025/finnish-sa-pharmacy-company-yliopiston-apteekki-issued-administrative-fine_en,2025-06-17
